table_name,field_name,field_type,description,mapped_from_table,mapped_from_field,mapping_type,release_date,relationship_category,cardinality
users,isDeleted,boolean,A flag indicating if the user is currently considered deleted,,,,prod,,
users,licenseType,,"The license type for the user such as premium, business, or partner",,,,prod,,
users,isSeismicEmployee,boolean,A flag indicating if the user is a Seismic employee,,,,prod,,
users,isSystemAdmin,boolean,A flag indicating if the user has system administration permissions,,,,opdb-difficult,,
users,defaultContentProfileId,uniqueidentifier,The id of the users default content profile,,,,prod,,
users,defaultContentProfileName,,The name of the users default content profile,,,,roadmap,,
users,groups,json,A JSON object representing the list of groups the user is a member of,,,,prod,,
users,properties,json,A JSON object representing list of properties and values for the user,,,,prod,,
workspaceComments,id,uniqueidentifier,The primary id for items in this table,,,,opdb,,
workspaceComments,commentText,,The plain text version of the comment,,,,opdb,,
workspaceComments,commentHTML,,The full HTML of the comment including styling and mentions,,,,opdb,,
workspaceComments,createdBy,uniqueidentifier,The user id of the user who made the comment,users,id,,opdb,primary,Nto1
workspaceComments,workspaceContentId,uniqueidentifier,The workspace content id of the content that the comment was made on,workspaceContents,id,,opdb,,
workspaceComments,workspaceContentVersionId,uniqueidentifier,The workspace content version id of the content that the comment was made on,workspaceContentVersions,id,,opdb,,
workspaceComments,pageIndex,integer,The 1-N based page number where the annotation was placed,,,,opdb,,
workspaceComments,annotationType,,"The type of annotation (rectange, oval, pin, line) the comment is associated with",,,,opdb,,
workspaceContents,id,uniqueidentifier,The primary id for items in this table,contents,id,,prod,primary,1to1
workspaceContents,name,,The name of the content,,,,prod,,
workspaceContents,createdBy,uniqueidentifier,The user id of the user who created the first version of this content in workspace,users,id,,prod,primary,Nto1
workspaceContents,createdAt,datetime,The datetime that the first version of this content was created in Workspace,,,,prod,,
workspaceContents,modifiedAt,datetime,The datetime that this content was last altered in any way,,,,prod,,
workspaceContents,isDeleted,boolean,A boolean indicating if this content has been deleted from Workspace,,,,prod,,
workspaceContents,latestWorkspaceContentVersionId,uniqueidentifier,The workspace version id of the highest version,workspaceContentVersions,id,,prod,informational,1to1
workspaceContents,latestWorkspaceContentVersionCreatedAt,datetime,The datetime that the highest version was created,,,,prod,,
workspaceContents,isContextualFolderContent,boolean,A boolean indicating if this content is in a contextual workspace folder,,,,prod,,
workspaceContents,isFolder,boolean,A boolean indicating if this content is a folder,,,,prod,,
workspaceContents,isCartContent,boolean,A boolean indicating if this is content in a user's document cart (which is a specialzed hidden workspace folder),,,,prod,,
workspaceContents,libraryContentId,uniqueidentifier,The library content id that this workspace content originated from,libraryContents,id,,prod,informational,Nto1
workspaceContents,version,,The current version number of this document in workspace,,,,prod,,
workspaceContents,materializedPath,,The full path of workspaceContentIds representing the parent folder path to this workspace content,,,,prod,,
workspaceContents,thumbnailImageId,uniqueidentifier,An id to the lower resolution thumbnail image representing the latest version of the workspace content,,,,tbd,,
workspaceContents,previewImageId,uniqueidentifier,An id to the higher resolution preview image representing the latest version of the workspace content,,,,tbd,,
workspaceContentVersions,id,uniqueidentifier,The primary id for items in this table,,,,opdb,,
workspaceContentVersions,workspaceContentId,uniqueidentifier,The id of the workspace content that this is a version of,workspaceContents,id,,opdb,primary,Nto1
workspaceContentVersions,name,,The name of the workspace content that this is a version of,,,,opdb,,
workspaceContentVersions,isContextualFolderContent,boolean,A boolean indicating if this content is in a contextual workspace folder,,,,opdb,,
workspaceContentVersions,isLiveSendStorage,boolean,[INTERNAL] Boolean indicating if this is hidden storage used by Livesend when performing livesend from DocCenter,,,,internal,,
workspaceContentVersions,isFolder,boolean,A boolean indicating if this content is a folder,,,,opdb,,
workspaceContentVersions,isCartContent,boolean,A boolean indicating if this is content in a user's document cart (which is a specialzed hidden workspace folder),,,,opdb,,
workspaceContentVersions,isVirtualSharingNode,boolean,[INTERNAL] Boolean indicating if this is a virtual node in a user's workspace that represents a link to the physical folder or content,,,,internal,,
workspaceContentVersions,internalTypeCode,integer,[INTERNAL] The internal type code for this content type in workspace,,,,internal,,
workspaceContentVersions,versionCreationMethod,,"The approach used to create this version of the workspace document (Add to Cart, Save to Workspace, Auto-update, Livedoc Iteration, Upload)",,,,opdb,,
workspaceContentVersions,libraryContentId,uniqueidentifier,The library content id that this content is derived from,libraryContents,id,,opdb-dirty,informational,Nto1
workspaceContentVersions,libraryContentVersionId,uniqueidentifier,"The library content version id that this particular version is derived from.  If this version is the result of an upload, the library version id is retained from the last version created directly from the library",libraryContentVersions,id,,opdb-dirty,informational,Nto1
workspaceContentVersions,createdAt,datetime,The datetime that this version was created,,,,opdb,,
workspaceContentVersions,createdBy,uniqueidentifier,"The user id of the user who created this version.  In the case of auto-update, this is the owner of the library content.",users,id,,opdb,primary,Nto1
workspaceContentVersions,version,,The version number of this version of the workspace content,,,,opdb,,
workspaceContentVersions,format,,The format of this version of the workspace content,,,,opdb,,
workspaceContentVersions,size,integer,The size in bytes of this version of the workspace content,,,,opdb,,
workspaceContentVersions,materializedPath,,The full path of workspaceContentIds representing the parent folder path to this workspace content,,,,opdb,,
workspaceContentVersions,thumbnailImageId,uniqueidentifier,An id to the lower resolution thumbnail image for this workspace content version,,,,opdb,,
workspaceContentVersions,previewImageId,uniqueidentifier,An id to the higher resolution preview image for this workspace content version,,,,opdb,,
meetings,id,uniqueidentifier,The id of the meeting,,,,tbd,,
meetings,url,nvarchar(max),The url of the meeting,,,,tbd,,
meetings,roomId,nvarchar(255),An id representing the persistent room available at the meeting's URL,,,,tbd,,
meetings,createdBy,uniqueidentifier,The user id of the user who created the meeting,,,,tbd,,
meetings,startedAt,datetime,The timestamp when the meeting started,,,,tbd,,
meetings,endedAt,datetime,The timestamp when the meeting ended,,,,tbd,,
meetings,screenShareDuration,bigint,Total screen share duration from all participants in seconds,,,,tbd,,
meetings,meetingDuration,bigint,Total meeting duration in seconds,,,,tbd,,
meetings,totalMembers,integer,Total number of members that attended the meeting,,,,tbd,,
meetingMembers,id,uniqueidentifier,The id of the meeting member,,,,tbd,,
meetingMembers,meetingId,uniqueidentifier,The id of the meeting this member participated in,meetings,id,,tbd,primary,Nto1
meetingMembers,isModerator,boolean,Boolean indicating if this member is the moderator of the meeting,,,,tbd,,
meetingMembers,screenShareDuration,bigint,Total screen share duration from this member in seconds,,,,tbd,,
meetingMembers,internalUserId,uniqueidentifier,The user id of the member if they are a registered user of the seimic platform,users,id,,tbd,primary,Nto1
meetingMembers,internalUserEmail,nvarchar(max),The email address of the internal user,,,,tbd,,
meetingMembers,internalUserUsername,nvarchar(max),The username of the internal user,,,,tbd,,
meetingMembers,joinedAt,datetime,The timestamp when the member first joined the meeting,,,,tbd,,
meetingMembers,exitedAt,datetime,The timestamp when the member last exited the meeting,,,,tbd,,
meetingMembers,totalDuration,bigint,The total duration in seconds that the member was in the meeting,,,,tbd,,
meetingMembers,surveyRating,integer,The 1 to 5 rating provided by the member,,,,tbd,,
meetingMembers,surveyFeedback,nvarchar(max),The plain text feedback on the meeting from the member,,,,tbd,,
crmAccounts,crmOrganizationId,uniqueidentifier,The id of the crmOrganization that the account belongs to.,crmOrganizations,id,,staging,primary,Nto1
crmAccounts,description,nvarchar(max),The description of the account as specified in the external system.,,,,staging,,
crmAccounts,domain,nvarchar(253),The domain to which the majority of the account's contact's email addresses belong.,,,,staging,,
crmAccounts,externalSystemCreatedAt,datetime,The date and time the account was created according to the external system.,,,,staging,,
crmAccounts,externalSystemId,nvarchar(128),The id of the account according to the external system.,,,,staging,,
crmAccounts,externalSystemOwnerId,nvarchar(128),The id of the user that is the owner of the account according to the external system.,,,,staging,,
crmAccounts,externalSystemModifiedAt,datetime,The date and time the account was last updated according to the external system.,,,,staging,,
crmAccounts,id,uniqueidentifier,The unique identifier for the account.,,,,staging,,
crmAccounts,industry,nvarchar(256),The industry of the account as specified in the external system.,,,,staging,,
crmAccounts,industryNormalized,nvarchar(128),"The best available, normalized industry that the account belongs to.",,,,staging,,
crmAccounts,industryNormalizedCustomer,nvarchar(128),The normalized industry that the account belongs to based on the customer's industry selection.,,,,staging,,
crmAccounts,name,nvarchar(256),The name of the account as specified in the external system.,,,,staging,,
crmAccounts,ownerCrmUserId,uniqueidentifier,The id of the crmUser that is designated as the owner of the account.,crmUsers,id,,staging,primary,Nto1
crmAccounts,type,nvarchar(256),The type of the account as specified in the external system.,,,,staging,,
crmAccounts,modifiedAt,datetime,The date and time the crmAccount record was last updated.,,,,staging,,
crmContacts,businessFunction,nvarchar(64),The business function of the contact as specified in the external system.,,,,staging,,
crmContacts,company,nvarchar(256),The company of the contact as specified in the external system.,,,,staging,,
crmContacts,crmAccountId,uniqueidentifier,The id of the crmAccount that the contact is associated with.,crmAccounts,id,,staging,primary,Nto1
crmContacts,crmOrganizationId,uniqueidentifier,The id of the crmOrganization that the contact is associated with.,crmOrganizations,id,,staging,primary,Nto1
crmContacts,department,nvarchar(128),The department of the contact as specified in the external system.,,,,staging,,
crmContacts,description,nvarchar(max),The description of the contact as specified in the external system.,,,,staging,,
crmContacts,email,nvarchar(254),The email address of the contact as specified in the external system.,,,,staging,,
crmContacts,externalSystemAccountId,nvarchar(128),The id in the external system of the account the contact is associated with.,,,,staging,,
crmContacts,externalSystemCreatedAt,datetime,The date and time the contact was created according to the external system.,,,,staging,,
crmContacts,externalSystemId,nvarchar(128),The id of the contact according to the external system.,,,,staging,,
crmContacts,externalSystemModifiedAt,datetime,The date and time that the contact was last updated according to the external system.,,,,staging,,
crmContacts,firstName,nvarchar(128),The first name of the contact as specified in the external system.,,,,staging,,
crmContacts,id,uniqueidentifier,The unique identifier for the contact.,,,,staging,,
crmContacts,industry,nvarchar(256),The industry of the contact as specified in the external system.,,,,staging,,
crmContacts,industryNormalized,nvarchar(128),"The best available, normalized industry that the contact belongs to.",,,,staging,,
crmContacts,industryNormalizedCustomer,nvarchar(128),The normalized industry that the contact belongs to based on the industry selection in the external system.,,,,staging,,
crmContacts,isInternal,boolean,Indicates whether the contact is internal to the organization or not.,,,,staging,,
crmContacts,lastName,nvarchar(128),The last name of the contact as specified in the external system.,,,,staging,,
crmContacts,name,nvarchar(256),The full name of the contact as specified in the external system.,,,,staging,,
crmContacts,title,nvarchar(256),The title of the contact as specified in the external system.,,,,staging,,
crmContacts,modifiedAt,datetime,The date and time the the crmContact was last updated.,,,,staging,,
crmContentUsageHistoryMappings,contentUsageHistoryId,uniqueidentifier,The id of the contentUsageHistory record that the given crm context maps to.,contentUsageHistory,id,,staging,primary,Nto1
crmContentUsageHistoryMappings,crmContactId,uniqueidentifier,The id of the crmContact record that the contentUsageHistory record maps to.,crmContacts,id,,staging,primary,Nto1
crmContentUsageHistoryMappings,crmOrganizationId,uniqueidentifier,The id of the crmOrganization record that the contentUsageHistory record maps to.,crmOrganizations,id,,staging,primary,Nto1
crmContentUsageHistoryMappings,crmLeadId,uniqueidentifier,The id of the crmLead record that the contentUsageHistory record maps to.,crmLeads,id,,staging,primary,Nto1
crmContentUsageHistoryMappings,crmSalesTimelinePeriodId,uniqueidentifier,The id of the crmSalesTimelinePeriod that the contentUsageHistory record maps to.,crmSalesTimelinePeriods,id,,staging,primary,Nto1
crmContentUsageHistoryMappings,id,uniqueidentifier,The unique identifier for the crmContentUsageHistoryMapping record.,,,,staging,,
crmContentUsageHistoryMappings,modifiedAt,datetime,The date and time that the crmContentUsageHistoryMapping was last updated.,,,,staging,,
crmLeads,businessFunction,nvarchar(64),The business function of the lead as specified in the external system.,,,,staging,,
crmLeads,company,nvarchar(256),The company of the lead as specified in the external system.,,,,staging,,
crmLeads,convertedCrmAccountId,uniqueidentifier,The id of the crmAccount that the lead converted to.,,,,staging,,
crmLeads,convertedCrmContactId,uniqueidentifier,the id of the crmContact that the lead converted to.,,,,staging,,
crmLeads,convertedCrmOpportunityId,uniqueidentifier,The id of the crmOpportunity that the lead converted to.,,,,staging,,
crmLeads,crmOrganizationId,uniqueidentifier,The id of the crmOrganization that the lead belongs to.,,,,staging,,
crmLeads,department,nvarchar(128),The department of the lead as specified in the external system.,,,,staging,,
crmLeads,description,nvarchar(max),The description of the lead as specified in the external system.,,,,staging,,
crmLeads,email,nvarchar(254),The email address of the lead as specified in the external system.,,,,staging,,
crmLeads,externalSystemConvertedAccountId,nvarchar(128),The id of the account that the lead converted to according to the external system.,,,,staging,,
crmLeads,externalSystemConvertedContactId,nvarchar(128),The id of the contact that the lead converted to according to the external system.,,,,staging,,
crmLeads,externalSystemConvertedAt,datetime,The date and time that the lead converted according to the external system.,,,,staging,,
crmLeads,externalSystemConvertedOpportunityId,nvarchar(128),The id of the opportunity that the lead converted to according to the external system.,,,,staging,,
crmLeads,externalSystemCreatedAt,datetime,The date and time that the lead was created according to the external system.,,,,staging,,
crmLeads,externalSystemId,nvarchar(128),The id of the lead record according to the external system.,,,,staging,,
crmLeads,externalSystemModifiedAt,datetime,The date and time that the lead was updated according to the external system.,,,,staging,,
crmLeads,firstName,nvarchar(128),The first name of the lead as specified in the external system.,,,,staging,,
crmLeads,id,uniqueidentifier,The unique identifier of the crmLead record.,,,,staging,,
crmLeads,industry,nvarchar(256),The industry of the lead as specified in the external system.,,,,staging,,
crmLeads,industryNormalized,nvarchar(128),"The best available, normalized industry that the lead belongs to.",,,,staging,,
crmLeads,industryNormalizedCustomer,nvarchar(128),The normalized industry that the lead belongs to based on the industry selection in the external system.,,,,staging,,
crmLeads,isInternal,boolean,Indicates whether the lead is internal to the organization or not.,,,,staging,,
crmLeads,lastName,nvarchar(128),The last name of the lead as specified in the external system.,,,,staging,,
crmLeads,name,nvarchar(256),The full name of the lead as specified in the external system.,,,,staging,,
crmLeads,title,nvarchar(256),The title of the lead as specified in the external system.,,,,staging,,
crmLeads,modifiedAt,datetime,The date and time the the crmLead was last updated.,,,,staging,,
crmOpportunities,amount,"decimal(19,4)",The projected value of the opportunity in USD.,,,,staging,,
crmOpportunities,amountRaw,"decimal(19,4)",The projected value of the opportunity in the currency specified by currencyCode as specified in the external system.,,,,staging,,
crmOpportunities,crmAccountId,uniqueidentifier,The id of the crmAccount that the opportunity is associated with.,crmAccounts,id,,staging,primary,Nto1
crmOpportunities,crmOrganizationId,uniqueidentifier,The id of the crmOrganization that the opportunity is associated with.,crmOrganizations,id,,staging,primary,Nto1
crmOpportunities,currencyCode,nvarchar(3),The ISO currency code of the currency that amountRaw is given in as specified in the external system.,,,,staging,,
crmOpportunities,currentCrmStageId,nvarchar(64),The name of the crmStage that the opportunity is currently in.,crmStages,id,,staging,primary,Nto1
crmOpportunities,currentCrmStageName,nvarchar(64),The name of the crmStage that the opportunity is currently in.,,,,staging,,
crmOpportunities,status,nvarchar(64),"Indicates the current state of the opportunity being active, won, or lost.",,,,staging,,
crmOpportunities,description,nvarchar(max),The description of the opportunity as specified in the external system.,,,,staging,,
crmOpportunities,externalSystemAccountId,nvarchar(128),The id of the account that the opportunity is associated with in the external system.,,,,staging,,
crmOpportunities,externalSystemClosedAt,datetime,The close date of the opportunity as specified in the external system.,,,,staging,,
crmOpportunities,externalSystemCreatedAt,datetime,The created date of the opportunity as specified in the external system.,,,,staging,,
crmOpportunities,externalSystemId,nvarchar(128),The id of the opportunity in the external system.,,,,staging,,
crmOpportunities,externalSystemOwnerId,nvarchar(128),The id of the user that is the owner of the opportunity according to the external system.,,,,staging,,
crmOpportunities,externalSystemModifiedAt,datetime,The date and time that the opportunity was last updated according to the external system.,,,,staging,,
crmOpportunities,id,uniqueidentifier,The unique identifier of the crmOpportunity record.,,,,staging,,
crmOpportunities,name,nvarchar(256),The name of the opportunity as specified in the external system.,,,,staging,,
crmOpportunities,ownerCrmUserId,uniqueidentifier,The id of the crmUser that is designated as the owner of the opportunity.,crmUsers,id,,staging,primary,Nto1
crmOpportunities,type,nvarchar(256),The type of the opportunity as specified in the external system.,,,,staging,,
crmOpportunities,modifiedAt,datetime,The date and time that the crmOpportunity record was last updated.,,,,staging,,
crmOpportunityContacts,crmContactId,uniqueidentifier,The id of the crmContact record that is associated with the crmOpportunity specified by crmOpportunityId.,crmContacts,id,,staging,primary,Nto1
crmOpportunityContacts,crmOpportunityId,uniqueidentifier,the id of the crmOpportunity record that is associated with the crmContact specified by crmContactId.,crmOpportunities,id,,staging,primary,Nto1
crmOpportunityContacts,crmOrganizationId,uniqueidentifier,The id of the crmOrganization that the specified crmOpportunity and crmContact belong to.,crmOrganizations,id,,staging,primary,Nto1
crmOpportunityContacts,externalSystemContactId,nvarchar(128),The id of the contact according to the external system.,,,,staging,,
crmOpportunityContacts,externalSystemCreatedAt,datetime,The created date of the opportunity contact according to the external system.,,,,staging,,
crmOpportunityContacts,externalSystemId,nvarchar(128),The id of the opportunity contact in the external system.,,,,staging,,
crmOpportunityContacts,externalSystemOpportunityId,nvarchar(128),The id of the opportunity according to the external system.,,,,staging,,
crmOpportunityContacts,externalSystemModifiedAt,datetime,The date and time that the record that represents the opportunity contact was updated according to the external system.,,,,staging,,
crmOpportunityContacts,id,uniqueidentifier,The unique identifier of the crmOpportunityContact record.,,,,staging,,
crmOpportunityContacts,isPrimary,boolean,Boolean flag indicating whether the specified contact is the primary contact for the specified opportunity.,,,,staging,,
crmOpportunityContacts,role,nvarchar(48),The role of the specified contact for the specified opportunity as specified in the external system.,,,,staging,,
crmOpportunityContacts,modifiedAt,datetime,The date and time that the crmOpportunityContact record was last updated.,,,,staging,,
crmOrganizations,externalSystemCreatedAt,datetime,The created date of the organization according to the external system.,,,,staging,,
crmOrganizations,externalSystemId,nvarchar(128),The id of the organization in the external system.,,,,staging,,
crmOrganizations,externalSystemModifiedAt,datetime,The date and time the organization was last updated according to the external system.,,,,staging,,
crmOrganizations,id,uniqueidentifier,The unique identifier of the crmOrganization record.,,,,staging,,
crmOrganizations,name,nvarchar(256),The name of the organization as specified in the external system.,,,,staging,,
crmOrganizations,modifiedAt,datetime,The date and time the crmOrganization record was last updated.,,,,staging,,
crmSalesTimelinePeriods,closes,boolean,Boolean flag indicating whether the related opportunity closed during the sales timeline period.,,,,staging,,
crmSalesTimelinePeriods,converts,boolean,Boolean flag indicating whether the related lead converts during the sales timeline period.,,,,staging,,
crmSalesTimelinePeriods,crmLeadId,uniqueidentifier,The id of the crmLead record that the salesTimelinePeriod is associated with.,crmLeads,id,,staging,primary,Nto1
crmSalesTimelinePeriods,crmOpportunityId,uniqueidentifier,The id of the crmOpportunity record that the salesTimelinePeriod is associated with.,crmOpportunities,id,,staging,primary,Nto1
crmSalesTimelinePeriods,crmOrganizationId,uniqueidentifier,The id of the crmOrganization record that the salesTimelinePeriod is associated with.,crmOrganizations,id,,staging,primary,Nto1
crmSalesTimelinePeriods,endTime,datetime,The date and time that marks the end of the salesTimelinePeriod.,,,,staging,,
crmSalesTimelinePeriods,externalSystemLeadId,nvarchar(128),The id of the lead record according to the external system.,,,,staging,,
crmSalesTimelinePeriods,externalSystemOpportunityId,nvarchar(128),The id of the opportunity record according to the external system.,,,,staging,,
crmSalesTimelinePeriods,externalSystemType,nvarchar(256),The type of record in the external system that the salesTimelinePeriod relates to. Values include 'lead' and 'opportunity'.,,,,staging,,
crmSalesTimelinePeriods,id,uniqueidentifier,The unique identifier of the salesTimelinePeriod record.,,,,staging,,
crmSalesTimelinePeriods,crmStageName,nvarchar(64),The name of the stage that the salesTimelinePeriod represents.,,,,staging,,
crmSalesTimelinePeriods,crmStageId,nvarchar(64),The id of the stage that the salesTimelinePeriod represents.,crmStages,id,,staging,primary,Nto1
crmSalesTimelinePeriods,nextCrmStageName,nvarchar(64),The name of the stage that the specified lead/opportunity moved to after the stage represented by the salesTimelinePeriod.,,,,staging,,
crmSalesTimelinePeriods,nextCrmStageId,nvarchar(64),The id of the stage that the specified lead/opportunity moved to after the stage represented by the salesTimelinePeriod.,crmStages,id,,staging,primary,Nto1
crmSalesTimelinePeriods,progresses,boolean,Boolean flag indicating whether the salesTimelinePeriod constitutes deal progres.,,,,staging,,
crmSalesTimelinePeriods,timelineId,uniqueidentifier,The id of the full timeline for the given combination of lead and opportunity spanning from lead through opportunity.,,,,staging,,
crmSalesTimelinePeriods,timelineSortOrder,integer,The index of this timeline period in the overall sales timeline for the given combination of lead and opportunity.,,,,staging,,
crmSalesTimelinePeriods,startTime,datetime,The date and time that marks the start of the salesTimelinePeriod.,,,,staging,,
crmSalesTimelinePeriods,modifiedAt,datetime,The date and time that the crmSalesTimelinePeriod record was updated.,,,,staging,,
crmSalesTimelinePeriods,wins,boolean,Boolean flag indicating whether the related opportunity is won during the salesTimelinePeriod.,,,,staging,,
crmSalesTimelinePeriods,winsEventually,boolean,Boolean flag indicating whether the related opportunity eventually closes as a win.,,,,staging,,
crmStages,crmOrganizationId,uniqueidentifier,The id of the crmOrganization that the stage belongs to.,crmOrganizations,id,,staging,primary,Nto1
crmStages,externalSystemId,nvarchar(128),The id of the stage according to the external system.,,,,staging,,
crmStages,externalSystemModifiedAt,datetime,The date and time that the stage record was updated according to the external system.,,,,staging,,
crmStages,forecastCategory,nvarchar(64),The forecast category that the stage belongs to as specified in the external system.,,,,staging,,
crmStages,id,uniqueidentifier,The unique identifier of the crmStage record.,,,,staging,,
crmStages,name,nvarchar(128),The master label of the stage as specified in the external system.,,,,staging,,
crmStages,probability,"decimal(9,5)","The probability that an opportunity will be won given that it is in the stage, as specified in the external system.",,,,staging,,
crmStages,sortOrder,integer,The sort order of the stage as specified in the external system.,,,,staging,,
crmStages,modifiedAt,datetime,The date and time that the crmStage record was updated.,,,,staging,,
crmUsers,crmOrganizationId,uniqueidentifier,The id of the crmOrganization that the user belongs to.,crmOrganizations,id,,staging,primary,Nto1
crmUsers,department,nvarchar(128),The department of the user as specified in the external system.,,,,staging,,
crmUsers,division,nvarchar(256),The division of the user as specified in the external system.,,,,staging,,
crmUsers,email,nvarchar(254),The email address of the user as specified in the external system.,,,,staging,,
crmUsers,externalSystemCreatedAt,datetime,The created date of the user according to the external system.,,,,staging,,
crmUsers,externalSystemId,nvarchar(128),The id of the user according to the external system.,,,,staging,,
crmUsers,externalSystemManagerId,nvarchar(128),The id of the user that is the manager of the user according to the external system.,,,,staging,,
crmUsers,externalSystemModifiedAt,datetime,The date and time that the user record was updated according to the external system.,,,,staging,,
crmUsers,firstName,nvarchar(128),The first name of the user as specified in the external system.,,,,staging,,
crmUsers,fullPhotoUrl,nvarchar(256),The URL of the full photo of the user as specified by the external system.,,,,staging,,
crmUsers,id,uniqueidentifier,The unique identifier of the crmUser record.,,,,staging,,
crmUsers,role,nvarchar(256),The role of the use as specified in the external system.,,,,staging,,
crmUsers,isActive,boolean,A boolean flag indicating whether or not the user is active as specified by the external system.,,,,staging,,
crmUsers,lastName,nvarchar(128),The last name of the user as specified in the external system.,,,,staging,,
crmUsers,managerCrmUserId,uniqueidentifier,The id of the crmUser that is designated as the manger of the user.,crmUsers,id,,staging,primary,Nto1
crmUsers,name,nvarchar(256),The name of the user as specified in the external system.,,,,staging,,
crmUsers,title,nvarchar(256),The title of the user as specifed in the external system.,,,,staging,,
crmUsers,modifiedAt,datetime,The date and time that the crmUser record was updated.,,,,staging,,
userActivity,id,uniqueidentifier,The unique identifier for the user activity,,,,staging,,
userActivity,action,,"The action the user took such as a login, or a view or use of content (download, livesend, send by email, etc…).",,,,staging,,
userActivity,actionType,,The type of action within the category that the user performed.  See the action reference for details.,,,,staging,,
userActivity,actionCategory,,"The category of the action such as View, Usage, Login, Logout, etc…",,,,staging,,
userActivity,occurredAt,datetime,The datetime when the event occurred,,,,staging,,
userActivity,userId,uniqueidentifier,The id of the user who performed the action,users,id,,staging,primary,Nto1
userActivity,userUsername,,The username of the user who performed the action,,,,roadmap,,
userActivity,instanceName,,"The name given to the document before it was delivered.  Typically this is the name of the library content, except in cases of Livedocs with generated names or documents renamed in Workspace or cart before being delivered",,,,staging,,
userActivity,instanceFormat,,"The format of the delivered content (pptx, docx, pdf, etc.)",,,,staging,,
userActivity,isBoundDelivery,boolean,Boolean indicating if the usage is the result of a bound delivery option,,,,staging,,
userActivity,totalPages,integer,"The number of pages of the delivered document.  Currently only provided for the Livesend action, but will be added for others in the future",,,,staging,,
userActivity,contentId,uniqueidentifier,"A global content id representing a physical asset in the platform (represents library content, workspace content, and generated livedocs)",contents,id,,staging,primary,Nto1
userActivity,libraryContentId,uniqueidentifier,The id of the library content that was delivered even if the delivery was on a derived Workspace document,libraryContents,id,,staging,informational,Nto1
userActivity,libraryContentVersionId,uniqueidentifier,The version id of the library content that was delivered even if the delivery was on a derived Workspace document,libraryContentVersions,id,,staging,informational,Nto1
userActivity,workspaceContentId,uniqueidentifier,The id of the workspace content that was delivered,workspaceContents,id,,staging,informational,Nto1
userActivity,workspaceContentVersionId,uniqueidentifier,The version id of the workspace content that was delivered,workspaceContentVersions,id,,staging,informational,Nto1
userActivity,livesendLinkId,uniqueidentifier,The id of the livesend link that this document was included in,livesendLinks,id,,staging,informational,Nto1
userActivity,livesendLinkContentId,uniqueidentifier,This is guaranteed unique in this table and can be treated as a primary key to join to and table that can be joined to livesendLinkContents,livesendLinkContents,id,,staging,primary,Nto1
userActivity,generatedLivedocId,uniqueidentifier,The id of the generated livedoc that the activity took place on,generatedLivedocs,id,,staging,informational,Nto1
userActivity,referrerEventId,uniqueidentifier,The id of the referrer event that the content activity is derived from,referrerEvents,id,,roadmap,primary,Nto1
userActivity,contentProfileId,uniqueidentifier,The id of the content profile this document was viewed or used in,contentProfiles,id,,staging,primary,Nto1
userActivity,contentProfileName,,The name of the content profile this document was views or used in,,,,roadmap,,
userActivity,productArea,,"The area of the product (DocCenter, NewsCenter, Workspace, Home Page, Search, etc...) where the action was performed",,,,roadmap,,
userActivity,application,,"The application (Web, iOS, Android, Outlook, Gmail Salesforce, Dynamics, etc…) where the action was performed",,,,roadmap,,
userActivity,contextId,nvarchar(255),The unique identifier of the external context that the action took place from.  Typically this is the CRM record id such as 0066A000002701I or 80a60f9c-9d65-4e4b-b9e7-c4fc3431ffba depending on your CRM.,,,,roadmap,,
userActivity,contextType,nvarchar(255),"This is the type of context, which is typically the record type in the CRM such as Opportunity, Contact, Account, etc… But can also be the contextType for custom applications with a different concept of context.",,,,roadmap,,
userActivity,contextName,nvarchar(255),"This is the name of the contextual record, which is typically the name of the specific Opportunity, Contact, Account, etc… But can also be the name for a record in a custom application.",,,,roadmap,,
contentUsageHistory,id,uniqueidentifier,The primary id for events in this table,,,,prod,,
contentUsageHistory,action,,"The usage/delivery action such as Download, Livesend, Send by Email, Add to Workspace, etc.",,,,prod,,
contentUsageHistory,actionType,,An indicator if the delivery option is 'Built-In' as part of Seismic or is a 'Custom' delivery option,,,,prod,,
contentUsageHistory,occurredAt,datetime,The datetime when the event occurred,,,,prod,,
contentUsageHistory,userId,uniqueidentifier,The id of the user who performed the action,users,id,,prod,primary,Nto1
contentUsageHistory,userUsername,,The username of the user who performed the action,,,,roadmap,,
contentUsageHistory,instanceName,,"The name given to the document before it was delivered.  Typically this is the name of the library content, except in cases of Livedocs with generated names or documents renamed in Workspace or cart before being delivered",,,,prod,,
contentUsageHistory,instanceFormat,,"The format of the delivered content (pptx, docx, pdf, etc.)",,,,prod,,
contentUsageHistory,isBoundDelivery,boolean,Boolean indicating if the usage is the result of a bound delivery option,,,,prod,,
contentUsageHistory,totalPages,integer,"The number of pages of the delivered document.  Currently only provided for the Livesend action, but will be added for others in the future",,,,prod,,
contentUsageHistory,contentId,uniqueidentifier,The id of the content that the delivery was performed on,,,,staging,primary,Nto1
contentUsageHistory,libraryContentId,uniqueidentifier,The id of the library content that was delivered even if the delivery was on a derived Workspace document,libraryContents,id,,prod,informational,Nto1
contentUsageHistory,libraryContentVersionId,uniqueidentifier,The version id of the library content that was delivered even if the delivery was on a derived Workspace document,libraryContentVersions,id,,staging,informational,Nto1
